_elapsed,_wall,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
0.178845,1788156944.297593,0.0,0.0,0.0,0.0,0.0,0.0
0.284247,1788156944.402996,0.0,0.0,0.0,0.0,0.0,0.0
0.386191,1788156944.504940,0.0,0.0,0.0,0.0,0.0,0.0
0.491570,1788156944.610318,0.0,0.0,0.0,0.0,0.0,0.0
0.593744,1788156944.712493,0.0,0.0,0.0,0.0,0.0,0.0
0.696133,1788156944.814882,0.0,0.0,0.0,0.0,0.0,0.0
0.800188,1788156944.918937,0.0,0.0,0.0,0.0,0.0,0.0
0.903903,1788156945.022652,0.0,0.0,0.0,0.0,0.0,0.0
1.007207,1788156945.125955,0.0,0.0,0.0,0.0,0.0,0.0
1.110334,1788156945.229082,0.0,0.0,0.0,0.0,0.0,0.0
1.213667,1788156945.332416,0.0,0.0,0.0,0.0,0.0,0.0
1.317403,1788156945.436152,0.0,0.0,0.0,0.0,0.0,0.0
1.419882,1788156945.538631,0.0,0.0,0.0,0.0,0.0,0.0
1.523564,1788156945.642313,0.0,0.0,0.0,0.0,0.0,0.0
1.627904,1788156945.746652,0.0,0.0,0.0,0.0,0.0,0.0
1.731148,1788156945.849897,0.0,0.0,0.0,0.0,0.0,0.0
1.834772,1788156945.953521,0.0,0.0,0.0,0.0,0.0,0.0
1.938037,1788156946.056786,0.0,0.0,0.0,0.0,0.0,0.0
2.043370,1788156946.162118,0.0,0.0,0.0,0.0,0.0,0.0
2.143077,1788156946.261826,0.0,0.0,0.0,0.0,0.0,0.0
2.245817,1788156946.364566,0.0,0.0,0.0,0.0,0.0,0.0
2.348416,1788156946.467164,0.0,0.0,0.0,0.0,0.0,0.0
2.451454,1788156946.570203,0.0,0.0,0.0,0.0,0.0,0.0
2.553017,1788156946.671766,0.0,0.0,0.0,0.0,0.0,0.0
2.655255,1788156946.774004,0.0,0.0,0.0,0.0,0.0,0.0
2.759142,1788156946.877891,0.0,0.0,0.0,0.0,0.0,0.0
2.860934,1788156946.979682,0.0,0.0,0.0,0.0,0.0,0.0
2.963099,1788156947.081848,0.0,0.0,0.0,0.0,0.0,0.0
3.065352,1788156947.184101,0.0,0.0,0.0,0.0,0.0,0.0
3.168085,1788156947.286834,0.0,0.0,0.0,0.0,0.0,0.0
3.270086,1788156947.388835,0.0,0.0,0.0,0.0,0.0,0.0
3.372702,1788156947.491451,0.0,0.0,0.0,0.0,0.0,0.0
3.476196,1788156947.594945,0.0,0.0,0.0,0.0,0.0,0.0
3.581391,1788156947.700140,0.0,0.0,0.0,0.0,0.0,0.0
3.683542,1788156947.802290,0.0,0.0,0.0,0.0,0.0,0.0
3.785535,1788156947.904284,0.0,0.0,0.0,0.0,0.0,0.0
3.886982,1788156948.005731,0.0,0.0,0.0,0.0,0.0,0.0
3.991688,1788156948.110436,0.0,0.0,0.0,0.0,0.0,0.0
4.092476,1788156948.211224,0.0,0.0,0.0,0.0,0.0,0.0
4.196723,1788156948.315471,0.0,0.0,0.0,0.0,0.0,0.0
4.297845,1788156948.416593,0.0,0.0,0.0,0.0,0.0,0.0
4.400747,1788156948.519496,0.0,0.0,0.0,0.0,0.0,0.0
4.504349,1788156948.623097,0.0,0.0,0.0,0.0,0.0,0.0
4.606447,1788156948.725196,0.0,0.0,0.0,0.0,0.0,0.0
4.708921,1788156948.827670,0.0,0.0,0.0,0.0,0.0,0.0
4.809637,1788156948.928386,0.0,0.0,0.0,0.0,0.0,0.0
4.915151,1788156949.033900,0.0,0.0,0.0,0.0,0.0,0.0
5.022050,1788156949.140799,0.0,0.0,0.0,0.0,0.0,0.0
5.125170,1788156949.243918,0.0,0.0,0.0,0.0,0.0,0.0
5.225986,1788156949.344734,0.0,0.0,0.0,0.0,0.0,0.0
5.328864,1788156949.447613,0.0,0.0,0.0,0.0,0.0,0.0
5.432479,1788156949.551228,0.0,0.0,0.0,0.0,0.0,0.0
5.537088,1788156949.655837,0.0,0.0,0.0,0.0,0.0,0.0
5.641026,1788156949.759775,0.0,0.0,0.0,0.0,0.0,0.0
5.745623,1788156949.864371,0.0,0.0,0.0,0.0,0.0,0.0
5.849348,1788156949.968097,0.0,0.0,0.0,0.0,0.0,0.0
5.951882,1788156950.070630,0.0,0.0,0.0,0.0,0.0,0.0
6.055980,1788156950.174729,0.0,0.0,0.0,0.0,0.0,0.0
6.157151,1788156950.275900,0.0,0.0,0.0,0.0,0.0,0.0
6.259171,1788156950.377919,0.0,0.0,0.0,0.0,0.0,0.0
6.363002,1788156950.481751,0.0,0.0,0.0,0.0,0.0,0.0
6.466602,1788156950.585351,0.0,0.0,0.0,0.0,0.0,0.0
6.570508,1788156950.689257,0.0,0.0,0.0,0.0,0.0,0.0
6.673576,1788156950.792325,0.0,0.0,0.0,0.0,0.0,0.0
6.779090,1788156950.897839,0.0,0.0,0.0,0.0,0.0,0.0
6.878910,1788156950.997658,0.0,0.0,0.0,0.0,0.0,0.0
6.982248,1788156951.100996,0.0,0.0,0.0,0.0,0.0,0.0
7.085618,1788156951.204367,0.0,0.0,0.0,0.0,0.0,0.0
7.189500,1788156951.308248,0.0,0.0,0.0,0.0,0.0,0.0
7.292935,1788156951.411684,0.0,0.0,0.0,0.0,0.0,0.0
7.396263,1788156951.515012,0.0,0.0,0.0,0.0,0.0,0.0
7.499045,1788156951.617794,0.0,0.0,0.0,0.0,0.0,0.0
7.600747,1788156951.719496,0.0,0.0,0.0,0.0,0.0,0.0
7.703814,1788156951.822562,0.0,0.0,0.0,0.0,0.0,0.0
7.807212,1788156951.925960,0.0,0.0,0.0,0.0,0.0,0.0
7.911602,1788156952.030351,0.0,0.0,0.0,0.0,0.0,0.0
8.012863,1788156952.131612,0.0,0.0,0.0,0.0,0.0,0.0
8.115515,1788156952.234264,0.0,0.0,0.0,0.0,0.0,0.0
8.220537,1788156952.339286,0.0,0.0,0.0,0.0,0.0,0.0
