_elapsed,_wall,contact_count,elapsed_s,state
0.182097,1788156944.300846,0,33.230455329990946,IDLE
0.284750,1788156944.403498,0,33.33274429399171,IDLE
0.389530,1788156944.508279,0,33.43810570400092,IDLE
0.491760,1788156944.610509,0,33.54009786900133,IDLE
0.594769,1788156944.713518,0,33.64337822899688,IDLE
0.698409,1788156944.817158,0,33.74670236599923,IDLE
0.802316,1788156944.921065,0,33.85087789798854,IDLE
0.905933,1788156945.024682,0,33.95441103698977,IDLE
1.008812,1788156945.127561,0,34.05741376399237,IDLE
1.112358,1788156945.231107,0,34.16080605000025,IDLE
1.215335,1788156945.334084,0,34.2639333709958,IDLE
1.318418,1788156945.437166,0,34.36590779598919,IDLE
1.422508,1788156945.541256,0,34.47061601700261,IDLE
1.527279,1788156945.646028,0,34.573903690994484,IDLE
1.629746,1788156945.748495,0,34.67822687199805,IDLE
1.733943,1788156945.852692,0,34.78188223399047,IDLE
1.836607,1788156945.955355,0,34.88517444499303,IDLE
1.940488,1788156946.059236,0,34.9887242870027,IDLE
2.043552,1788156946.162301,0,35.090803156999755,IDLE
2.144797,1788156946.263546,0,35.19345112299197,IDLE
2.247444,1788156946.366192,0,35.29606210699421,IDLE
2.350140,1788156946.468888,0,35.398781924988725,IDLE
2.452179,1788156946.570928,0,35.50081681300071,IDLE
2.554194,1788156946.672942,0,35.60284453399072,IDLE
2.658012,1788156946.776760,0,35.70654302499315,IDLE
2.760954,1788156946.879703,0,35.80862791299296,IDLE
2.862646,1788156946.981395,0,35.91087619098835,IDLE
2.964400,1788156947.083149,0,36.01299289400049,IDLE
3.067464,1788156947.186213,0,36.11540800699731,IDLE
3.169611,1788156947.288359,0,36.21759009899688,IDLE
3.274606,1788156947.393354,0,36.3200380269991,IDLE
3.374046,1788156947.492795,0,36.42219467399991,IDLE
3.479354,1788156947.598102,0,36.52793323599326,IDLE
3.581559,1788156947.700307,0,36.629942918996676,IDLE
3.684405,1788156947.803154,0,36.73209201199643,IDLE
3.785713,1788156947.904462,0,36.83409476900124,IDLE
3.889632,1788156948.008380,0,36.93816459699883,IDLE
3.992093,1788156948.110842,0,37.0402437629964,IDLE
4.094635,1788156948.213383,0,37.14307895199454,IDLE
4.196905,1788156948.315654,0,37.24515248800162,IDLE
4.299867,1788156948.418615,0,37.34800823299156,IDLE
4.402488,1788156948.521237,0,37.45089047899819,IDLE
4.504754,1788156948.623502,0,37.55289134698978,IDLE
4.606623,1788156948.725372,0,37.654994179989444,IDLE
4.709106,1788156948.827855,0,37.75735232899024,IDLE
4.811820,1788156948.930569,0,37.86040729799424,IDLE
4.917316,1788156949.036065,0,37.965486316999886,IDLE
5.023375,1788156949.142124,0,38.067574501998024,IDLE
5.125342,1788156949.244091,0,38.17366721399594,IDLE
5.228002,1788156949.346751,0,38.276599106990034,IDLE
5.330969,1788156949.449718,0,38.3795581489976,IDLE
5.435599,1788156949.554348,0,38.48319456700119,IDLE
5.539224,1788156949.657972,0,38.587776546002715,IDLE
5.643955,1788156949.762703,0,38.69254015600018,IDLE
5.748616,1788156949.867365,0,38.79633522199583,IDLE
5.850812,1788156949.969561,0,38.89900929998839,IDLE
5.953953,1788156950.072702,0,39.00250515999505,IDLE
6.056196,1788156950.174945,0,39.104509547993075,IDLE
6.159002,1788156950.277750,0,39.206608084001346,IDLE
6.262061,1788156950.380810,0,39.3100452219951,IDLE
6.365904,1788156950.484652,0,39.414343161988654,IDLE
6.469723,1788156950.588471,0,39.518220357989776,IDLE
6.572734,1788156950.691483,0,39.621353419992374,IDLE
6.675994,1788156950.794743,0,39.72459505699226,IDLE
6.779277,1788156950.898026,0,39.82669670399628,IDLE
6.880940,1788156950.999689,0,39.92949759699695,IDLE
6.984549,1788156951.103297,0,40.03240182399168,IDLE
7.087737,1788156951.206486,0,40.13635233599052,IDLE
7.191676,1788156951.310425,0,40.239670768991346,IDLE
7.295019,1788156951.413768,0,40.34300938800152,IDLE
7.398039,1788156951.516788,0,40.44626789499307,IDLE
7.500901,1788156951.619650,0,40.54851152499032,IDLE
7.602976,1788156951.721725,0,40.65063098700193,IDLE
7.705673,1788156951.824422,0,40.75342839899531,IDLE
7.809309,1788156951.928058,0,40.85790645099769,IDLE
7.912300,1788156952.031049,0,40.96063265799603,IDLE
8.014090,1788156952.132839,0,41.0626601010008,IDLE
8.119891,1788156952.238639,0,41.167648175993236,IDLE
8.224265,1788156952.343014,0,41.27282230700075,IDLE
8.329397,1788156952.448145,0,41.377954993993626,IDLE
8.435152,1788156952.553901,0,41.4835405539925,IDLE
8.538595,1788156952.657343,0,41.587190859994735,IDLE
8.642559,1788156952.761307,0,41.69112931599375,IDLE
8.749440,1788156952.868189,0,41.79743486299412,IDLE
8.852922,1788156952.971671,0,41.90123550299904,IDLE
8.956573,1788156953.075321,0,42.00513942199177,IDLE
9.059674,1788156953.178422,0,42.10725377299241,IDLE
9.161104,1788156953.279853,0,42.20935793899116,IDLE
9.263277,1788156953.382026,0,42.311542234994704,IDLE
9.365375,1788156953.484124,0,42.41355534498871,IDLE
9.468480,1788156953.587228,0,42.517048964989954,IDLE
9.571071,1788156953.689820,0,42.61911483400036,IDLE
9.673132,1788156953.791881,0,42.72125892600161,IDLE
9.775749,1788156953.894498,0,42.823798223995254,IDLE
9.877270,1788156953.996018,0,42.92587313099648,IDLE
9.979688,1788156954.098436,0,43.0280361490004,IDLE
10.082406,1788156954.201154,0,43.13097120900056,IDLE
10.186072,1788156954.304820,0,43.233093985996675,IDLE
10.286634,1788156954.405382,0,43.33524520799983,IDLE
10.389246,1788156954.507994,0,43.43732663299306,IDLE
10.490984,1788156954.609733,0,43.53958452199004,IDLE
10.594747,1788156954.713495,0,43.64314173499588,IDLE
10.697084,1788156954.815833,0,43.74522814099328,IDLE
10.801009,1788156954.919758,0,43.84850464799092,IDLE
10.902961,1788156955.021710,0,43.951510986997164,IDLE
11.005343,1788156955.124092,0,44.05368341199937,IDLE
11.108401,1788156955.227149,0,44.156472415997996,IDLE
11.212936,1788156955.331684,0,44.26153926899133,IDLE
11.316834,1788156955.435583,0,44.364991333000944,IDLE
11.419779,1788156955.538527,0,44.468145375998574,IDLE
11.523401,1788156955.642150,0,44.571974886988755,IDLE
11.626681,1788156955.745430,0,44.67505513399374,IDLE
11.729983,1788156955.848732,0,44.778226436988916,IDLE
11.831938,1788156955.950686,0,44.88032136199763,IDLE
11.935383,1788156956.054132,0,44.98367116600275,IDLE
12.038226,1788156956.156975,0,45.086835041991435,IDLE
12.146688,1788156956.265436,0,45.19020569798886,IDLE
12.244181,1788156956.362930,0,45.292489531988394,IDLE
12.352604,1788156956.471353,0,45.399140691995854,IDLE
12.454702,1788156956.573451,0,45.50326668599155,IDLE
12.560300,1788156956.679049,0,45.60751240399259,IDLE
12.661047,1788156956.779796,0,45.70966229199257,IDLE
12.763225,1788156956.881974,0,45.81184432900045,IDLE
12.865467,1788156956.984215,0,45.91405912498885,IDLE
12.967691,1788156957.086440,0,46.01630899599695,IDLE
13.069835,1788156957.188584,0,46.11843423599203,IDLE
13.171932,1788156957.290680,0,46.22055375299533,IDLE
13.274609,1788156957.393357,0,46.32275940099498,IDLE
13.377917,1788156957.496666,0,46.426128852996044,IDLE
